unknown,"""Master Harold""...and the Boys"
unknown,A Flea in Her Ear
unknown,A Funny Thing Happened on the Way to the Forum
unknown,A Man for All Seasons
unknown,A Moon for the Misbegotten
unknown,A Pair of Threes: Three Viewings and Three Hotels
unknown,A Penny for a Song
unknown,A Raisin in the Sun
unknown,A Streetcar Named Desire
unknown,A Taste of Honey
unknown,A Thieves Ballad
unknown,A Touch of the Poet
unknown,A View From the Bridge
unknown,A Wrinkle in Time
unknown,"Ah, Wilderness!"
unknown,All My Sons
unknown,All the Way
unknown,American Night
unknown,An Enemy of the People
unknown,And a Nightingale Sang...
unknown,Angel Street
unknown,Animal Crackers
unknown,Antigone
unknown,Antigone
unknown,Arcadia
unknown,Aristocrats
unknown,Arsenic and Old Lace
unknown,Artichoke
unknown,At Long Last Leo
unknown,August: Osage County
unknown,Awake and Sing!
unknown,Ballerina
unknown,Blithe Spirit
unknown,Blood Wedding
unknown,Blues for an Alabama Sky
unknown,Born Yesterday
unknown,Boy Meets Girl
unknown,Brand
unknown,"Breakfast, Lunch & Dinner"
unknown,Breaking the Silence
unknown,Broadway
unknown,Bus Stop
unknown,By the Waters of Babylon
unknown,Cabaret Verboten
unknown,Cat on a Hot Tin Roof
unknown,Charley's Aunt
unknown,Chicago
unknown,Claudia
unknown,Crimes of the Heart
unknown,Crumbs from the Table of Joy
unknown,Curse of the Starving Class
unknown,Cymbaline
unknown,Cyrano de Bergerac
"Edgar, David",Daughters of the Revolution [Continental Divide]
unknown,Dead Man's Cell Phone
unknown,Death and the King's Horseman
unknown,Death of a Salesman
unknown,Distracted
unknown,Don Juan in Hell
unknown,Don Quixote
unknown,Dr. Jekyll and Mr. Hyde
unknown,Dracula
unknown,Dreamhouse
unknown,Dreams of the Muse
"Solis, Octavio",El Paso Blue
unknown,Emma's Child
unknown,Enrico IV
unknown,Enter the Guardsmen
unknown,Equivocation
unknown,Family Album
"Wilson, August",Fences
unknown,Fifth of July
unknown,Force of Nature
unknown,From the Mississippi Delta
unknown,Fuddy Meers
"Wilson, August",Gem of the Ocean
unknown,Ghost Light
unknown,Ghosts
"Solis, Octavio",Gibraltar
unknown,God's Country
unknown,Good Person of Szechuan
unknown,Handler
unknown,Hay Fever
unknown,Heathen Valley
unknown,Hedda Gabler
unknown,Henry VI, Parts Two and Three
unknown,Hold Me!
unknown,Humble Boy
unknown,Hunting Cocroaches
unknown,Idiot's Delight
unknown,Indulgences in the Louisville Harem
unknown,Inherit the Wind
unknown,Intimate Apparel
unknown,Into the Woods
"Wilson, August",Joe Turner's Come and Gone
unknown,Juno and the Paycock
unknown,La Bete
unknown,Laundry and Bourbon
unknown,Les Blancs
unknown,Life is a Dream
unknown,Light in the Village
unknown,Light up the Sky
unknown,"Lips Together, Teeth Apart"
unknown,Lizzie Borden in the Late Afternoon
unknown,Lock Up Your Daughters
unknown,London Assurance
unknown,Lone Star
unknown,Long Day's Journey Into Night
unknown,Lorca in a Green Dress
unknown,Lovers Made Men
"Wilson, August",Ma Rainey's Black Bottom
unknown,Major Barbara
unknown,Man and Superman
unknown,Media/Macbeth/Cinderella
unknown,Member of the Wedding
unknown,Merchant of Venice
unknown,Midsummer Night's Dream
unknown,Miss Julie
unknown,Miss Julie
unknown,Moliere Plays Paris
unknown,Mother Courage and Her Children
"Edgar, David",Mothers Against [Continental Divide]
unknown,My Fair Lady
unknown,Napoli Milionaria!
unknown,Night of the Auk
unknown,Night of the Tribades
unknown,Noises Off
unknown,Nora
unknown,Not About Heroes
unknown,O Rare Ben Jonson
unknown,Oedipus Complex
unknown,Oedipus the King
unknown,Of Mice and Men
unknown,Oleanna
unknown,On Monday Next
unknown,On the Razzle
unknown,On the Verge
unknown,Oo-Bla-Dee
unknown,Orphans
unknown,Other People's Money
unknown,Our Town
unknown,Paradise Lost
unknown,Party People
unknown,Peer Gynt
"Edgar, David",Pentacost
unknown,Playboy of the West Indies
unknown,Pravda
unknown,Present Laughter
unknown,Pride and Prejudice
unknown,Private Lives
unknown,Rabbit Hole
unknown,Rashomon
unknown,Restoration
unknown,Ring Round the Moon
unknown,Room Service
unknown,Root of the Mandrake
unknown,Rosencrantz and Guildenstern Are Dead
unknown,Rosmersholm
unknown,Rough Crossing
unknown,Ruined
unknown,Sailing to Byzantium
unknown,"Saturday, Sunday, Monday"
unknown,Sea Marks
unknown,Seagull
unknown,Seascape with Sharks and Dancer
unknown,Seascape
unknown,Servant of Two Masters
"Wilson, August",Seven Guitars
unknown,She Loves Me
unknown,She Stoops to Conquer
unknown,"Shoemakers\' Holiday"
unknown,Sizwe Bansi Is Dead
unknown,Some Americans Abroad
unknown,Spokesong
unknown,Stop Kiss
unknown,Strange Snow
unknown,Strindberg in Hollywood
unknown,Taking Steps
unknown,Tales of the Lost Formicans
unknown,Taming of the Shrew
unknown,Tartuffe
unknown,Ten Little Indians
unknown,The African Company Presents Richard III
unknown,The Alchemist
unknown,The Baltimore Waltz
unknown,The Beggar's Opera
unknown,The Belle's Stratagem
unknown,The Birthday Party
unknown,The Boy Friend
unknown,The Cherry Orchard
unknown,The Clay Cart
unknown,The Cocoanuts
unknown,The Colored Museum
unknown,The Conclusion of Henry VI
unknown,The Crucible
unknown,The Cure at Troy
unknown,The Dance of Death
unknown,The Darker Face of the Earth
unknown,The Devil's Disciple
unknown,The Diary of Anne Frank
unknown,The Effect of Gamma Rays on Man-in-the-Moon Marigolds
unknown,The Entertainer
unknown,The Fantasticks
unknown,The Father
unknown,The Firebugs
unknown,The First Part of Henry VI
unknown,The Further Adventures of Hedda Gabler
unknown,The Glass Menagerie
unknown,The Great Society
unknown,The Heart of Robin Hood
unknown,The Hostage
unknown,The House of Blue Leaves
unknown,The Iceman Cometh
unknown,The Illusion
unknown,The Imaginary Invalid
"Wilde, Oscar",The Importance of Being Earnest
unknown,The Island
unknown,The Knight of the Burning Pestle
unknown,The Ladies of the Camellias
unknown,The Language Archive
unknown,The Late Christopher Bean
unknown,The Liquid Plain
unknown,The Little Foxes
unknown,The Magic Fire
unknown,The Maid of the Mill
unknown,The Majestic Kid
unknown,The Man Who Came to Dinner
unknown,The Marriage of Bette and Boo
unknown,The Maske of the New World
unknown,The Matchmaker
unknown,The Miser
unknown,The Music Man
unknown,The Night of the Iguana
unknown,The Petrified Forest
unknown,The Philadelphia Story
unknown,The Philanderer
"Wilson, August",The Piano Lesson
unknown,The Pirates of Penzance
unknown,The Play's the Thing
unknown,The Playboy of the Western World
unknown,The Pool of Bethesda
unknown,The Rehearsal
unknown,The Revenger's Tragedy
unknown,The Rivals
unknown,The Road to Mecca
unknown,The Royal Family
unknown,The School for Scandal
unknown,The Second Man
unknown,The Show-Off
unknown,The Sign in Sidney Brustein's Window
unknown,The Skin of Our Teeth
unknown,The Tavern
unknown,The Time of Your Life
unknown,The Tragedy of the Duchess of Malfi
unknown,The Tragical History of Doctor Faustus
unknown,The Trip to Bountiful
unknown,The Trojan Women
unknown,The Turn of the Screw
unknown,The Two Noble Kinsmen
unknown,The Unfortunates
unknown,"The Very Merry Wives of Windsor, Iowa"
unknown,The Vinegar Tree
unknown,The Visit
unknown,The Voice of the Prairie
unknown,The White Devil
unknown,The White Snake
unknown,The Wild Duck
unknown,This Day and Age
unknown,Three Musketeers
unknown,Three Sisters
unknown,Threepenny Opera
unknown,Throne of Blood
unknown,Tis Pity She's a Whore
unknown,Titus Adronicus
unknown,To Kill a Mockingbird
unknown,Tongue of a Bird
unknown,Topdog Underdog
unknown,Toys in the Attic
unknown,Tracy's Tiger
unknown,Translations
unknown,Trelawny of the “Wells”
unknown,Two Gentlemen of Verona
unknown,Two Rooms
unknown,Two Sisters and a Piano
"Wilson, August",Two Trains Running
unknown,U.S.A.
unknown,Uncle Vanya
unknown,Under Milk Wood
unknown,UP
unknown,Velma's Got a Golem
unknown,Virtue in Danger
unknown,Volpone
unknown,Waiting for Godot
unknown,Water by the Spoonful
unknown,"Welcome Home, Jenny Sutter"
unknown,Well
unknown,What the Butler Saw
unknown,Who's Afraid of Virginia Woolf?
unknown,Who's Happy Now?
unknown,Wild Oats
unknown,Wings
unknown,Wit
unknown,Woman in Mind
unknown,You Can't Take It with You